State,DR2012,DR2013,DR2014,DR2015,PGP2013,AGP2013,PPC2013,PS2013,PM2013,AM2013,PBC2013,ABC2013,PAR2013,AAR2013,NFL2013,TGA2013,LGA2013,LSG2013
Alabama,17.1,17.79,16.7,19.6,1,0,1,1,1,0,0,0,0,0,1,0,0,0
Alaska,17.8,19.59,18.8,23.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Arizona,14.1,14.2,13.4,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,16.6,16.93,16.4,16.9,1,0,1,1,0,0,0,0,0,0,0,0,0,0
California,7.9,7.89,7.4,7.7,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Colorado,12.6,11.75,12.1,12.6,0,1,0,0,1,0,1,0,1,0,0,1,0,0
Connecticut,6.4,4.48,4.9,5.3,0,0,0,0,1,0,1,0,1,0,0,1,0,0
Delaware,10.5,10.8,11.1,12.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Florida,12.2,12.49,11.5,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Georgia,12.8,12.63,13.7,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,3.4,2.71,2.6,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Idaho,13,14.08,13.1,14.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Illinois,9.1,8.67,9,9.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Indiana,12.2,13.04,12.3,12.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Iowa,7,8.19,7.4,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,13.1,11.44,11.3,11.4,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Kentucky,14.8,14.15,13.8,15.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,18.5,19.15,18.9,20.4,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Maine,9,11.89,9.3,9.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,9.9,9.75,9,11.9,0,0,0,0,1,0,1,0,1,0,0,0,0,1
Massachusetts,3.4,3.18,3.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,12.3,12.03,11.1,11.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,6.9,7.88,6.6,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mississippi,18.3,17.55,18,19.6,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Missouri,14.6,14.56,15.2,18.1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
Montana,16.6,16.94,15.8,19.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,9.1,8.99,9.4,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,12.8,14.16,14.7,14.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,8.1,7.03,8.6,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,5.1,5.69,5.3,5.4,1,0,0,0,1,0,0,0,0,0,0,1,0,1
New Mexico,15.5,15.63,15.8,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,4.8,4.39,4.2,4.2,0,0,0,0,1,0,1,0,1,0,0,0,0,1
North Carolina,11.8,12.42,11.7,12.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0
North Dakota,10.5,11.89,12.1,12.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Ohio,10.9,11.14,10.3,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,16.3,16.41,15.6,18,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Oregon,10.8,11.76,11.7,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,11.2,11.36,10.5,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,4.1,5.33,2.9,4.7,0,0,0,0,1,0,0,0,0,0,0,0,0,1
South Carolina,15.3,15.6,15.5,17.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
South Dakota,9.5,9.47,10.3,11.1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Tennessee,15,15.86,14.7,16,1,0,1,1,1,0,0,0,0,0,0,0,1,0
Texas,10.7,10.5,10.6,11.7,1,0,1,0,1,0,0,0,0,0,0,0,1,0
Utah,12.4,11.69,12.3,12.8,1,0,1,0,0,1,0,0,0,0,0,1,0,0
Vermont,8.7,10.37,10.3,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,10.1,10.46,10.3,10.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,9.6,9.07,9.6,9.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0
West Virginia,14.9,15.1,14.5,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Wisconsin,8.3,9.93,8.2,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,20.1,17.51,16,19.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,19,1,16,8,15,1,12,1,4,1,4,6,2,5